energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.872,128.924,0.816,0.254,0.94,0.0442,3.7e-06
0.896,90.622,0.662,0.186,0.79,0.251,0.0
0.59,161.989,0.864,0.093,0.579,0.499,0.0
0.63,81.009,0.72,0.108,0.512,0.0413,0.0
0.573,82.941,0.603,0.0971,0.236,0.0502,0.0
0.468,135.875,0.483,0.152,0.319,0.0341,0.0
0.519,122.925,0.562,0.172,0.415,0.0326,0.000268
0.481,124.914,0.534,0.142,0.293,0.0412,0.0
0.866,140.266,0.526,0.0945,0.248,0.0568,7.78e-05
0.903,132.009,0.562,0.298,0.791,0.0296,0.0939
0.585,109.942,0.775,0.077,0.518,0.0271,0.619
0.957,105.105,0.606,0.14,0.603,0.0814,0.000295
0.94,100.99,0.438,0.3,0.421,0.0452,0.0777
0.795,79.028,0.801,0.0717,0.754,0.0504,0.000113
0.509,119.945,0.578,0.344,0.586,0.0279,0.734
0.62,117.038,0.741,0.0398,0.934,0.0412,0.000809
0.643,103.842,0.633,0.78,0.472,0.0252,0.00831
0.593,120.509,0.565,0.215,0.429,0.0883,0.0
0.749,164.959,0.593,0.314,0.649,0.0475,0.106
0.518,151.891,0.815,0.104,0.877,0.0897,0.0
0.846,103.912,0.611,0.0784,0.751,0.0436,0.0
0.924,168.017,0.598,0.17,0.611,0.0623,0.799
0.828,112.056,0.654,0.122,0.79,0.0281,0.000144
0.901,113.967,0.621,0.0875,0.744,0.0302,0.0
0.509,119.869,0.898,0.0876,0.727,0.062,0.0
0.94,100.99,0.438,0.3,0.421,0.0452,0.0777
0.572,131.272,0.636,0.0878,0.66,0.0913,0.0
0.603,102.99,0.66,0.0751,0.527,0.025,0.0144
0.798,126.976,0.502,0.0979,0.307,0.0414,1.11e-05
0.684,209.688,0.633,0.112,0.725,0.591,8.95e-05
0.351,87.057,0.665,0.109,0.451,0.0276,0.819
0.521,106.035,0.539,0.367,0.679,0.0299,0.0
0.544,121.968,0.823,0.108,0.826,0.0358,0.165
0.658,150.093,0.615,0.205,0.293,0.0343,0.000911
0.501,134.014,0.781,0.0908,0.961,0.0333,3.78e-06
0.501,87.086,0.668,0.194,0.858,0.0629,0.0
0.361,121.059,0.606,0.38,0.621,0.0346,3.39e-05
0.361,187.711,0.363,0.154,0.612,0.0499,0.00119
0.586,78.259,0.434,0.146,0.239,0.138,0.0144
0.545,159.94,0.545,0.417,0.549,0.107,5.48e-05
0.364,75.24,0.524,0.1,0.436,0.0367,0.0
0.507,86.412,0.662,0.0465,0.676,0.118,0.0
0.607,81.001,0.684,0.191,0.498,0.1,0.000307
0.551,143.008,0.559,0.11,0.392,0.132,0.0
0.444,118.402,0.609,0.104,0.166,0.106,6.86e-06
0.394,117.489,0.689,0.0859,0.382,0.065,0.000905
0.551,92.887,0.911,0.0863,0.969,0.045,4.35e-05
0.693,86.009,0.662,0.145,0.655,0.0698,0.0
0.684,112.912,0.692,0.156,0.406,0.155,0.0
0.239,113.451,0.372,0.168,0.127,0.0296,0.000175
0.307,92.995,0.81,0.0779,0.697,0.12,0.00298
0.352,102.679,0.45,0.249,0.408,0.267,3.8e-06
0.695,90.119,0.665,0.106,0.707,0.0532,0.0
0.609,95.986,0.652,0.233,0.482,0.037,0.00101
0.284,99.796,0.358,0.183,0.276,0.0285,0.0
0.344,65.203,0.583,0.143,0.581,0.0559,0.0
0.574,92.795,0.452,0.189,0.578,0.311,0.0
0.707,93.145,0.704,0.318,0.761,0.0391,0.00106
0.612,86.768,0.536,0.209,0.57,0.272,0.0
0.735,88.98,0.644,0.161,0.418,0.0391,0.144
0.503,137.007,0.646,0.652,0.789,0.0312,0.000279
0.552,90.098,0.641,0.148,0.152,0.0283,4.63e-06
0.698,95.975,0.59,0.107,0.352,0.0286,0.0
0.61,125.99,0.741,0.534,0.72,0.0511,0.0
0.705,96.644,0.838,0.336,0.837,0.29,0.0
0.378,141.967,0.617,0.11,0.22,0.0315,9.16e-05
0.43,129.93,0.716,0.146,0.472,0.112,0.0
0.629,93.985,0.657,0.254,0.726,0.0782,0.0
0.493,82.887,0.347,0.127,0.308,0.29,0.00366
0.594,135.002,0.795,0.162,0.409,0.0748,0.0
0.5,132.798,0.602,0.295,0.395,0.298,5.69e-05
0.618,133.876,0.707,0.293,0.517,0.19,0.0
0.477,119.928,0.796,0.12,0.685,0.108,0.0
0.681,171.864,0.673,0.235,0.707,0.118,0.0
0.588,94.519,0.686,0.0954,0.617,0.0554,0.0
0.5,135.03,0.856,0.104,0.886,0.18,0.0
0.725,146.163,0.61,0.154,0.291,0.15,0.0
0.5,124.037,0.816,0.0733,0.649,0.03,1.53e-06
0.876,130.21,0.412,0.297,0.706,0.472,0.0
0.538,109.97,0.81,0.0951,0.832,0.0357,0.0
0.394,92.009,0.764,0.117,0.465,0.152,9.37e-05
0.552,168.19,0.727,0.198,0.607,0.14,0.00016
0.712,140.012,0.573,0.167,0.346,0.0732,0.0
0.576,179.063,0.625,0.187,0.235,0.175,4.07e-05
0.366,73.313,0.4,0.126,0.161,0.0597,0.0
0.242,144.211,0.549,0.127,0.286,0.038,8.1e-05
0.721,169.904,0.62,0.563,0.77,0.0887,0.0075
0.467,138.007,0.845,0.0694,0.702,0.138,0.0
0.635,103.019,0.617,0.164,0.446,0.0317,1.44e-05
0.939,129.024,0.671,0.298,0.53,0.161,0.0
0.715,199.892,0.475,0.135,0.159,0.058,2.67e-05
0.823,128.035,0.646,0.322,0.418,0.0394,0.0
0.835,125.983,0.527,0.249,0.654,0.0433,0.0
0.751,117.948,0.88,0.106,0.884,0.0874,6.43e-05
0.685,118.02,0.782,0.16,0.603,0.0309,1.18e-05
0.524,95.01,0.748,0.111,0.661,0.0338,0.0
0.627,179.642,0.468,0.11,0.159,0.0476,7.97e-06
0.856,127.949,0.596,0.141,0.743,0.0346,0.0178
0.77,125.905,0.694,0.118,0.163,0.149,1.1e-05
0.963,129.992,0.581,0.139,0.788,0.0981,0.0
0.787,126.062,0.604,0.127,0.301,0.103,0.15
0.714,101.969,0.664,0.0843,0.71,0.111,8.42e-06
0.815,123.063,0.636,0.163,0.636,0.0581,0.0
0.736,127.999,0.579,0.198,0.613,0.0527,0.0
0.777,130.003,0.73,0.0691,0.575,0.0496,0.000486
0.869,159.805,0.533,0.136,0.425,0.173,0.00538
0.857,128.024,0.414,0.343,0.348,0.0808,0.00574
0.86,127.075,0.608,0.262,0.437,0.0554,0.0
0.811,116.047,0.794,0.101,0.862,0.038,1.07e-06
0.741,123.077,0.646,0.312,0.571,0.034,0.0
0.519,133.99,0.501,0.454,0.168,0.0409,0.0
0.717,121.985,0.793,0.226,0.466,0.0393,3.6e-05
0.685,130.039,0.772,0.131,0.501,0.0696,8.96e-05
0.927,123.962,0.631,0.148,0.465,0.0332,0.119
